Date,Week,Product_ID,Sales,Promotion,Holiday
2022-01-01,52,P001,17,No,Yes
2022-01-01,52,P002,21,No,Yes
2022-01-01,52,P003,20,No,Yes
2022-01-01,52,P004,23,Yes,Yes
2022-01-01,52,P005,12,No,Yes
2022-01-01,52,P006,16,No,Yes
2022-01-01,52,P007,21,No,Yes
2022-01-01,52,P008,18,No,Yes
2022-01-01,52,P009,18,No,Yes
2022-01-01,52,P010,26,No,Yes
2022-01-02,52,P001,24,No,No
2022-01-02,52,P002,14,No,No
2022-01-02,52,P003,19,No,No
2022-01-02,52,P004,12,No,No
2022-01-02,52,P005,13,No,No
2022-01-02,52,P006,21,No,No
2022-01-02,52,P007,21,No,No
2022-01-02,52,P008,19,Yes,No
2022-01-02,52,P009,11,No,No
2022-01-02,52,P010,19,No,No
2022-01-03,1,P001,19,No,No
2022-01-03,1,P002,20,Yes,No
2022-01-03,1,P003,23,No,No
2022-01-03,1,P004,18,No,No
2022-01-03,1,P005,20,Yes,No
2022-01-03,1,P006,20,No,No
2022-01-03,1,P007,19,No,No
2022-01-03,1,P008,21,No,No
2022-01-03,1,P009,22,No,No
2022-01-03,1,P010,17,No,No
2022-01-04,1,P001,20,No,No
2022-01-04,1,P002,20,No,No
2022-01-04,1,P003,21,No,No
2022-01-04,1,P004,10,Yes,No
2022-01-04,1,P005,26,No,No
2022-01-04,1,P006,17,No,No
2022-01-04,1,P007,21,No,No
2022-01-04,1,P008,20,No,No
2022-01-04,1,P009,25,No,No
2022-01-04,1,P010,14,No,No
2022-01-05,1,P001,22,Yes,No
2022-01-05,1,P002,16,Yes,No
2022-01-05,1,P003,21,Yes,No
2022-01-05,1,P004,19,Yes,No
2022-01-05,1,P005,17,No,No
2022-01-05,1,P006,9,No,No
2022-01-05,1,P007,16,No,No
2022-01-05,1,P008,17,No,No
2022-01-05,1,P009,18,No,No
2022-01-05,1,P010,20,Yes,No
2022-01-06,1,P001,21,No,No
2022-01-06,1,P002,21,Yes,No
2022-01-06,1,P003,16,No,No
2022-01-06,1,P004,19,No,No
2022-01-06,1,P005,18,No,No
2022-01-06,1,P006,26,No,No
2022-01-06,1,P007,20,No,No
2022-01-06,1,P008,18,No,No
2022-01-06,1,P009,23,No,No
2022-01-06,1,P010,19,No,No
2022-01-07,1,P001,16,No,No
2022-01-07,1,P002,26,No,No
2022-01-07,1,P003,27,No,No
2022-01-07,1,P004,16,No,No
2022-01-07,1,P005,25,Yes,No
2022-01-07,1,P006,15,No,No
2022-01-07,1,P007,16,No,No
2022-01-07,1,P008,23,No,No
2022-01-07,1,P009,22,No,No
2022-01-07,1,P010,21,No,No
2022-01-08,1,P001,19,No,No
2022-01-08,1,P002,16,No,No
2022-01-08,1,P003,24,No,No
2022-01-08,1,P004,20,No,No
2022-01-08,1,P005,27,No,No
2022-01-08,1,P006,15,Yes,No
2022-01-08,1,P007,24,Yes,No
2022-01-08,1,P008,18,No,No
2022-01-08,1,P009,18,Yes,No
